scenario,time,subregion,management,level,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
Reference,date=2022-10-4T03:04:51-04:00,TexasCst,IRR,lo,-0.0462732,-0.0286559,-0.0198473,-0.0282565,-0.0320098,-0.0338865,-0.0311579,-0.0334558,-0.0184563,-4.39E-04,0.013027,0.0211502,0.0168201,0.0113873,0.0108165,0.00896178,0.010168,0.0102751,0.0112765,0.0105911,0.00900252,0.00777345,0.00605673,0.00483383,0.00369558,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,TexasCst,RFD,hi,-0.0689825,-0.0425999,-0.0294087,-4.13E-02,-4.69E-02,-4.97E-02,-4.58E-02,-4.91E-02,-6.03E-02,-3.66E-02,-1.44E-02,-1.78E-03,-1.02E-02,-3.09E-02,-3.25E-02,-2.37E-02,-3.47E-03,7.94E-03,2.37E-02,2.80E-02,2.51E-02,2.28E-02,2.22E-02,2.33E-02,0.0244492,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,TexasCst,RFD,lo,-0.0689825,-0.0425999,-0.0294087,-4.13E-02,-4.69E-02,-4.97E-02,-4.58E-02,-4.91E-02,-3.07E-02,-5.24E-03,1.48E-02,2.62E-02,2.03E-02,1.37E-02,1.37E-02,1.36E-02,1.57E-02,1.58E-02,1.66E-02,1.53E-02,1.30E-02,1.12E-02,8.35E-03,6.18E-03,0.00415182,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,UsaColoRN,IRR,hi,-0.00129792,-8.00E-04,-5.51E-04,-7.65E-04,-8.71E-04,-9.24E-04,-8.54E-04,-9.12E-04,-0.00254317,-0.00266971,-0.00266518,-0.00128048,-7.58E-04,-0.00103834,-9.47E-04,-8.75E-04,-3.78E-04,-8.15E-05,3.84E-04,5.21E-04,4.64E-04,4.29E-04,4.71E-04,5.76E-04,6.90E-04,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,UsaColoRN,IRR,lo,-0.00129792,-8.00E-04,-5.51E-04,-7.65E-04,-8.71E-04,-9.24E-04,-8.54E-04,-9.12E-04,-0.00131707,-0.00105002,-7.70E-04,-9.90E-05,1.32E-04,1.11E-04,1.66E-04,1.36E-04,1.86E-04,1.94E-04,2.31E-04,2.07E-04,1.55E-04,1.11E-04,7.19E-05,5.59E-05,5.07E-05,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,UsaColoRN,RFD,hi,-9.40E-04,-5.79E-04,-3.99E-04,-5.54E-04,-6.31E-04,-6.69E-04,-6.18E-04,-6.61E-04,-1.75E-03,-1.78E-03,-1.74E-03,-7.97E-04,-4.49E-04,-6.47E-04,-5.84E-04,-5.67E-04,-2.42E-04,-4.65E-05,2.69E-04,3.61E-04,3.20E-04,2.95E-04,3.23E-04,3.95E-04,4.73E-04,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,UsaColoRN,RFD,lo,-9.40E-04,-5.79E-04,-3.99E-04,-5.54E-04,-6.31E-04,-6.69E-04,-6.18E-04,-6.61E-04,-9.36E-04,-7.42E-04,-5.46E-04,-6.72E-05,9.58E-05,7.36E-05,1.11E-04,8.75E-05,1.28E-04,1.36E-04,1.67E-04,1.53E-04,1.15E-04,8.35E-05,5.67E-05,4.68E-05,4.47E-05,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,UsaColoRS,IRR,hi,-2.67E-04,-1.69E-04,-1.20E-04,-4.42E-04,-5.97E-04,-6.75E-04,-4.55E-04,-3.79E-04,-9.14E-04,-9.55E-04,-9.75E-04,-5.17E-04,-3.50E-04,-4.54E-04,-4.22E-04,-3.75E-04,-1.85E-04,-6.92E-05,1.07E-04,1.65E-04,1.53E-04,1.50E-04,1.73E-04,2.18E-04,2.64E-04,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,UsaColoRS,IRR,lo,-2.67E-04,-1.69E-04,-1.20E-04,-4.42E-04,-5.97E-04,-6.75E-04,-4.55E-04,-3.79E-04,-5.13E-04,-4.21E-04,-3.36E-04,-1.11E-04,-3.11E-05,-3.67E-05,-1.43E-05,-6.80E-06,2.46E-05,3.74E-05,5.98E-05,5.91E-05,4.68E-05,3.63E-05,2.86E-05,2.87E-05,3.20E-05,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,UsaColoRS,RFD,hi,-5.92E-06,-3.74E-06,-2.66E-06,-9.66E-06,-1.31E-05,-1.48E-05,-1.01E-05,-8.32E-06,-1.55E-05,-1.36E-05,-1.21E-05,-5.25E-06,-2.88E-06,-4.89E-06,-4.49E-06,-4.99E-06,-2.45E-06,-8.36E-07,1.94E-06,2.83E-06,2.59E-06,2.49E-06,2.86E-06,3.59E-06,4.35E-06,MtC/yr
