Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP2,2025,1_1_0.5_1,117320663,93856530,3952107959576,3974419019829,22311060253,60282761,7091187375,325324518,322754843,2586645443,1124837720,1707445746,9092581843,365676430,141823747,12675489,46928265,164248928,46928265,164248928,211177193,2455,1567,3523832390574,288105417308,147113195064,15368016882,0,18.67522621154785
SSP2,2025,1_1_1_1,117320663,93856530,3950520426054,3974419019829,23898593775,60282761,7091187375,325324518,488028077,2329278030,1620013828,2858305214,9126173969,365676430,141823747,12675489,58519981,152657212,58519981,152657212,211177193,2455,1567,3523832390574,288105417308,147113195064,15368016882,0,18.0942497253418
SSP2,2025,1_1_1_10,117320663,93856530,3870425643158,3974419019829,103993376671,60282761,7091187375,325324518,314000451,2755318523,1318473323,5375524386,86753265331,365676430,141823747,12675489,41822314,169354879,41822314,169354879,211177193,2455,1567,3523832390574,288105417308,147113195064,15368016882,0,18.17106056213379
SSP2,2025,1_10_1_1,117320663,93856530,3949239052147,3974419019829,25179967682,60282761,7091187375,325324518,0,4059526564,0,4462215510,9181430951,365676430,141823747,12675489,0,211177193,0,211177193,211177193,2455,1567,3523832390574,288105417308,147113195064,15368016882,0,18.069292068481445
SSP2,2025,10_1_1_1,117320663,93856530,3926319778582,3974419019829,48099241247,60282761,7091187375,3253245187,10880654053,11137151590,4844711006,1699926455,9132082816,365676430,141823747,12675489,107352200,103824993,107352200,103824993,211177193,2455,1567,3523832390574,288105417308,147113195064,15368016882,0,18.54078865051269
SSP2,2030,1_1_0.5_1,149734199,119787359,5932052095789,5958673206155,26621110365,82185274,6916473268,401831952,461321031,3554351403,1435609642,2152981103,11616356689,423517242,138329465,15666217,59893679,209627879,59893679,209627879,269521558,2449,1559,5386040622426,366781483348,186857064662,18994035718,0,18.2226676940918
SSP2,2030,1_1_1_1,149734199,119787359,5930059369593,5958673206155,28613836561,82185274,6916473268,401831952,673418322,3203623316,2047664878,3635014470,11653625079,423517242,138329465,15666217,74239930,195281627,74239930,195281627,269521558,2449,1559,5386040622426,366781483348,186857064662,18994035718,0,18.60912704467773
SSP2,2030,1_1_1_10,149734199,119787359,5827781370404,5958673206155,130891835750,82185274,6916473268,401831952,480554543,3700426226,1712875486,6943466455,110654022544,423517242,138329465,15666217,55608736,213912822,55608736,213912822,269521558,2449,1559,5386040622426,366781483348,186857064662,18994035718,0,18.48499298095703
SSP2,2030,1_10_1_1,149734199,119787359,5928375880966,5958673206155,30297325188,82185274,6916473268,401831952,0,5510839999,0,5670006148,11715988546,423517242,138329465,15666217,0,269521558,0,269521558,269521558,2449,1559,5386040622426,366781483348,186857064662,18994035718,0,19.02155876159668
SSP2,2030,10_1_1_1,149734199,119787359,5897366372059,5958673206155,61306834095,82185274,6916473268,4018319521,14674725971,15811307999,5923797676,2224000194,11656024190,423517242,138329465,15666217,133616168,135905390,133616168,135905390,269521558,2449,1559,5386040622426,366781483348,186857064662,18994035718,0,19.76655387878418
