Name,LON,LAT,BasinName,Production,Ending,EndingRate
Agmark,-98.209378,39.393273,OilCrop_MissouriR,47074.36,2770.14,0.058845998210108406
"Beachner Grain Inc - Elevator, St Paul Elevator",-95.306802,37.558502,OilCrop_ArkWhtRedR,22330.42,2222.32,0.09951968376923066
Continental Agra Grain Equipment,-97.427241,38.04322,OilCrop_ArkWhtRedR,22330.42,574.84,0.025742321471927156
Cooperative Elevator & Supply Company,-100.36626,37.238138,OilCrop_ArkWhtRedR,22330.42,2204.13,0.0987053499351132
Cornerstone Agency LLC,-101.05557,39.350924,OilCrop_MissouriR,47074.36,2510.53,0.05333113438808164
Countryside Feed LLC,-97.096895,38.358874,OilCrop_ArkWhtRedR,22330.42,717.96,0.032151793396403214
Delphos Cooperative Association Elevator,-97.65022,39.132538,OilCrop_MissouriR,47074.36,3455.4,0.07340292545764375
Diversified Inc.,-94.822324,38.883773,OilCrop_MissouriR,47074.36,1085.02,0.023049137025308176
Farmers CO Op Elevator,-97.460993,37.684775,OilCrop_ArkWhtRedR,22330.42,1238.09,0.05544422712300179
Farmers Cooperative,-97.460993,37.684775,OilCrop_ArkWhtRedR,22330.42,198.34,0.008882124719472705
Farmers Cooperative Elevator,-97.427241,38.04322,OilCrop_ArkWhtRedR,22330.42,381.54,0.017086082626430122
Fowler Equity EXCH FERT Department,-100.36626,37.238138,OilCrop_ArkWhtRedR,22330.42,921.84,0.04128162932666953
Golden Belt Cooperative Association Inc,-99.317275,38.91474,OilCrop_MissouriR,47074.36,3718.18,0.07898532294245678
Heartland Mills Inc,-101.347393,38.48206,OilCrop_ArkWhtRedR,22330.42,313.13,0.014022408772833261
Hi-Plains Cooperative Association Inc,-101.05557,39.350924,OilCrop_MissouriR,47074.36,2404.0,0.05106822697701111
Johnson Cooperative Grain Company,-101.784226,37.563011,OilCrop_ArkWhtRedR,22330.42,1490.36,0.0667413600828326
L Conat Construction,-99.887965,37.691724,OilCrop_ArkWhtRedR,22330.42,404.02,0.018092602840145588
Lighthouse Renovation & Repair,-94.822324,38.883773,OilCrop_MissouriR,47074.36,2090.03,0.04439844171394493
Mc Cune Farmers Cooperative Association,-94.851823,37.507323,OilCrop_ArkWhtRedR,22330.42,2011.71,0.09008836419872789
Mc Donald Commodities,-94.822324,38.883773,OilCrop_MissouriR,47074.36,2495.71,0.053016228720669537
Meade Cooperative South,-100.36626,37.238138,OilCrop_ArkWhtRedR,22330.42,2048.92,0.09175478789655261
