Scenario,Year,Rates,OBJ_vaules,Cost_Farmers,Cost_Barges,Cost_Rails,Cost_Oceans,Total_production,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,Demand
SSP1,2020,5_5_10_0.5,13010288781245,7735293385818,2262971430711,1549294934643,1413926670704,79385707856,22528385974,18542470044,25605724053,18542470044,25605724053,44148194097,100314500
SSP1,2020,5_5_10_1,14377482749478,7776414484675,2514284406504,1383747616736,2654233882194,79385707856,23620590778,20393349611,22662639682,20393349611,22662639682,43055989293,100314500
SSP1,2020,5_5_10_5,23130367870545,7696659258910,3254880763745,2683173307580,9446852180941,79385707856,23815712356,25381515065,17479352650,25381515065,17479352650,42860867715,100314500
SSP1,2020,5_5_10_10,32568963441567,7683618701234,3226525973651,2756946100372,18853070306941,79385707856,23815712356,25144922516,17715945198,25144922516,17715945198,42860867715,100314500
SSP1,2020,5_10_0.5_0.5,11253386627783,9558523387684,248415642593,354855991254,1042789246884,79385707856,18930105321,1036390847,46710083902,1036390847,46710083902,47746474750,100314500
SSP1,2020,5_10_0.5_1,12256223856225,9628820236080,248415642593,400438972445,1929746645739,79385707856,20798089842,1036390847,44842099381,1036390847,44842099381,45878490229,100314500
SSP1,2020,5_10_0.5_5,19367918311173,9928081988255,203423521486,529411384420,8658199057643,79385707856,23815712356,848683575,42012184139,848683575,42012184139,42860867715,100314500
SSP1,2020,5_10_0.5_10,28020629427254,9964998047683,169199942403,537009334708,17300619743093,79385707856,23815712356,705902695,42154965019,705902695,42154965019,42860867715,100314500
SSP1,2020,5_10_1_0.5,11601098204014,9587770969690,248415642593,688052278076,1028056954287,79385707856,19795608476,1036390847,45844580747,1036390847,45844580747,46880971595,100314500
SSP1,2020,5_10_1_1,12609066040433,9646062408033,248415642593,675176961843,1990608668596,79385707856,21120969845,1036390847,44519219379,1036390847,44519219379,45555610226,100314500
SSP1,2020,5_10_1_5,19896291191320,9885716930278,248415642593,1051440782618,8661915476464,79385707856,23815712356,1036390847,41824476867,1036390847,41824476867,42860867715,100314500
SSP1,2020,5_10_1_10,28554619980863,9930515508147,203423521486,1055480476575,17316398115287,79385707856,23815712356,848683575,42012184139,848683575,42012184139,42860867715,100314500
SSP1,2020,5_10_5_0.5,13172977731258,9485574775439,533447873609,1460084119574,1645068603268,79385707856,22129107524,2225546217,42321926329,2225546217,42321926329,44547472547,100314500
SSP1,2020,5_10_5_1,14666609443771,9536291120274,577243490046,1833668829294,2670603644789,79385707856,23137114481,2408261668,41131203922,2408261668,41131203922,43539465591,100314500
SSP1,2020,5_10_5_5,22659008185295,9470459466984,758875095879,3009617945393,9371253317671,79385707856,23815712356,3166029303,39694838412,3166029303,39694838412,42860867715,100314500
SSP1,2020,5_10_5_10,31900844923912,9499839653185,715079479442,3574133778118,18062989653799,79385707856,23815712356,2983313852,39877553862,2983313852,39877553862,42860867715,100314500
SSP1,2020,5_10_10_0.5,14524455839701,9147958225679,1297637265535,2434803739014,1595254250104,79385707856,23255099913,5413746780,38007733377,5413746780,38007733377,43421480158,100314500
SSP1,2020,5_10_10_1,16094518618695,9053912117146,1559824829408,2345162906333,3086816406440,79385707856,23815712356,6507594127,36353273587,6507594127,36353273587,42860867715,100314500
SSP1,2020,5_10_10_5,25334948562463,8290064715819,2995291043028,4567837558817,9432952885432,79385707856,23815712356,12496363716,30364503998,12496363716,30364503998,42860867715,100314500
SSP1,2020,5_10_10_10,34756937602614,8308300380979,2929113747335,4684129003496,18786592111435,79385707856,23815712356,12220271829,30640595885,12220271829,30640595885,42860867715,100314500
SSP1,2020,10_0.5_0.5_0.5,13351637599423,11182740009955,638975014086,173433206572,1307687009441,79385707856,7117052997,38018356497,21541170577,38018356497,21541170577,59559527074,100314500
SSP1,2020,10_0.5_0.5_1,14625268417249,11272654015478,623711253192,194546095312,2485554693898,79385707856,9174784617,36965345624,20536449830,36965345624,20536449830,57501795454,100314500
SSP1,2020,10_0.5_0.5_5,23308948610039,12906807779886,504354383842,194367897065,9654616189878,79385707856,21316843406,28400037543,16959699122,28400037543,16959699122,45359736666,100314500
SSP1,2020,10_0.5_0.5_10,32411137942114,13608144678444,846780042928,192670787597,17714740073777,79385707856,23815712356,26199804927,16661062787,26199804927,16661062787,42860867715,100314500
